# Energy loss (eV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	Intra-t2g excitations (arb. units)	t2g-eg excitations (arb. units)
            0.1279571549             0.0600661650             3.0430552553             0.3001193851             0.0000000006
            0.1290971549             0.0590333591             3.0132160271             0.3025804227             0.0000000006
            0.1302371549             0.0580267697             2.9833043878             0.3050636944             0.0000000006
            0.1313771549             0.0570455237             2.9533396329             0.3075694627             0.0000000006
            0.1325171549             0.0560887834             2.9233400352             0.3100979947             0.0000000006
            0.1336571549             0.0551557453             2.8933244232             0.3126495625             0.0000000006
            0.1347971549             0.0542456384             2.8633130929             0.3152244431             0.0000000006
            0.1359371549             0.0533577225             2.8333223156             0.3178229188             0.0000000006
            0.1370771549             0.0524912867             2.8033676851             0.3204452775             0.0000000006
            0.1382171549             0.0516456484             2.7734641275             0.3230918130             0.0000000006
            0.1393571549             0.0508201516             2.7436304100             0.3257628255             0.0000000007
            0.1404971549             0.0500141657             2.7138836337             0.3284586213             0.0000000007
            0.1416371549             0.0492270846             2.6842316377             0.3311795143             0.0000000007
            0.1427771549             0.0484583252             2.6546866124             0.3339258254             0.0000000007
            0.1439171549             0.0477073268             2.6252601481             0.3366978835             0.0000000007
            0.1450571549             0.0469735497             2.5959632492             0.3394960263             0.0000000007
            0.1461971549             0.0462564745             2.5668201670             0.3423206003             0.0000000007
            0.1473371549             0.0455556010             2.5378344119             0.3451719619             0.0000000007
            0.1484771549             0.0448704476             2.5090098529             0.3480504780             0.0000000007
            0.1496171549             0.0442005503             2.4803551380             0.3509565267             0.0000000008
            0.1507571549             0.0435454621             2.4518784082             0.3538904986             0.0000000008
            0.1518971549             0.0429047519             2.4235873125             0.3568527972             0.0000000008
            0.1530371549             0.0422780044             2.3955144988             0.3598438405             0.0000000008
            0.1541771549             0.0416648189             2.3676429808             0.3628640619             0.0000000008
            0.1553171549             0.0410648090             2.3399785436             0.3659139115             0.0000000008
            0.1564571549             0.0404776018             2.3125268893             0.3689938578             0.0000000008
            0.1575971549             0.0399028375             2.2852933081             0.3721043887             0.0000000008
            0.1587371549             0.0393401688             2.2582904178             0.3752460138             0.0000000009
            0.1598771549             0.0387892604             2.2315373687             0.3784192659             0.0000000009
            0.1610171549             0.0382497883             2.2050167937             0.3816247033             0.0000000009
            0.1621571549             0.0377214396             2.1787323723             0.3848629115             0.0000000009
